item,itemLabel,itemDescription,itemItalianLabel,itemItalianDescription,category,type
Q102283726,Inazuma Eleven,Japanese anime television series,Inazuma Eleven - La squadra delle meraviglie,serie televisiva anime del 2008,Anime,entity
Q102364866,"Kaguya-sama: Love Is War, season 1",first season of the anime series Kaguya-sama: Love Is War,prima stagione di Kaguya-sama: Love is War,prima stagione dell'adattamento anime di Kaguya-sama: Love is War,Anime,entity
Q102364905,"Kaguya-sama: Love Is War, season 2",second season of the anime series Kaguya-sama: Love Is War,seconda stagione di Kaguya-sama: Love is War,seconda stagione della serie anime Kaguya-sama: Love is War,Anime,entity
Q102368919,Tropical-Rouge! Pretty Cure,Japanese anime television series,Tropical-Rouge! Pretty Cure,anime del 2021 di Izumi Tōdō,Anime,entity
Q1026730,Inuyasha the Movie: The Castle Beyond the Looking Glass,2002 film directed by Toshiya Shinohara,Inuyasha the Movie - Il castello al di là dello specchio,film di animazione del 2002 diretto da Toshiya Shinohara,Anime,entity
Q1028599,Ultra Maniac,2003 anime,Streghe per amore,serie anime,Anime,entity
Q1031902,Canaan,Japanese anime television series,Canaan,serie televisiva anime del 2009,Anime,entity
Q1032047,Pretty Cure All Stars New Stage 2: Friends of the Heart,2013 film directed by Kōji Ogawa,Eiga Pretty Cure All Stars New Stage 2 - Kokoro no tomodachi,film del 2013 diretto da Kōji Ogawa,Anime,entity
Q1033127,What's Michael?,manga,What's Michael?,serie di manga,Anime,entity
Q1036951,Onegai! Samia-don,Japanese anime television series,"Psammed, il folletto della sabbia",serie televisiva anime,Anime,entity
Q1039018,Keroro Gunso the Super Movie 4: Gekishin Dragon Warriors,2009 film by Susumu Yamaguchi,Chō gekijōban Keroro gunsō: Gekishin Dragon Warriors de arimasu!,film di animazione del 2009 diretto da Susumu Yamaguchi,Anime,entity
Q103970675,Kingdom,Japanese anime television series,Kingdom,serie anime,Anime,entity
Q104145204,Harem in the Labyrinth of Another World,Japanese anime television series,Harem in the Labyrinth of Another World,serie anime,Anime,entity
Q104161600,Star Wars: Visions,American-Japanese animated anthology series set in the Star Wars universe,Star Wars: Visions,serie animata antologica statunitense-giapponese,Anime,entity
Q104184744,Belle,2021 film directed by Mamoru Hosoda,Belle,film d'animazione del 2021 diretto da Mamoru Hosoda,Anime,entity
Q104211858,Chainsaw Man,Japanese anime television series,Chainsaw Man,serie anime,Anime,entity
Q104218124,07-Ghost,Japanese anime television series,07-Ghost,serie animata del 2009,Anime,entity
Q104241046,Dream Eater Merry,Japanese anime television series,Yumekui Merry,serie anime,Anime,entity
Q104321788,Platinum End,Japanese anime television series,Platinum End,serie televisiva anime,Anime,entity
Q104334301,Spriggan,Japanese original net animation series,Spriggan,serie ONA,Anime,entity
Q104381607,Azumanga Daioh,Japanese anime television series,Azumanga daiō,serie televisiva anime,Anime,entity
Q1043911,Crayon Shin-chan: Jungle That Invites Storm,2000 film by Keiichi Hara,Crayon Shin-chan - Arashi o yobu jungle,film d'animazione del 2000 diretto da Keiichi Hara,Anime,entity
Q1044391,Yu-Gi-Oh!,1999 anime short film by Junji Shimizu,Yu-Gi-Oh!,cortometraggio anime del 1999 diretto da Junji Shimizu,Anime,entity
Q1044745,Crayon Shin-chan: Fierceness That Invites Storm! Yakiniku Road of Honor,2003 film by Tsutomu Mizushima,Crayon Shin-chan - Arashi o yobu - Eikō no Yakuniku Road,film d'animazione del 2003 diretto da Tsutomu Mizushima,Anime,entity
Q104531215,Omamori Himari,Japanese anime television series,Omamori Himari,serie televisiva anime,Anime,entity
Q1045889,Only Yesterday,1991 Japanese animated film directed by Isao Takahata,Pioggia di ricordi,film di animazione del 1991 diretto da Isao Takahata,Anime,entity
Q104602618,Zombie Land Saga Revenge,sequel of the Zombie Land Saga anime television series,stagione di Zombie Land Saga,serie televisiva anime,Anime,entity
Q104621606,Pop Team Epic,Japanese anime television series,Pop Team Epic,serie anime giapponese adattamento del manga omonimo,Anime,entity
Q104626490,The Pet Girl of Sakurasou,Japanese anime television series,Sakura-sō no pet na kanojo,serie televisiva anime,Anime,entity
Q104658883,Maid Sama!,Japanese anime television series,Maid-sama!,serie anime,Anime,entity
Q104766969,Non Non Biyori: Okinawa e Ikukoto ni Natta,Japanese OVA,Non Non Biyori: Okinawa e Ikukoto ni Natta,OVA di Non Non Biyori,Anime,entity
Q104766971,Non Non Biyori Repeat: Hotaru ga Tanoshinda,Japanese OVA,Non Non Biyori Repeat: Hotaru ga tanoshinda,OVA di Non Non Biyori Repeat,Anime,entity
Q104766972,Non Non Biyori Movie: Vacation,Japanese anime film,Non Non Biyori Movie: Vacation,film d'animazione giapponese,Anime,entity
Q104815249,Hori-san to Miyamura-kun: Shingakki,2012 anime OVA,Hori-san to Miyamura-kun,OAV del 2012,Anime,entity
Q104815263,Horimiya,Japanese anime television series,Horimiya,serie televisiva anime,Anime,entity
Q104843562,The Aquatope on White Sand,Japanese anime television series,The Aquatope of White Sand,serie televisiva anime del 2021,Anime,entity
Q104870253,"Kingdom, season 2",second season of Kingdom anime television series,seconda stagione di Kingdom,serie drammatica dalla Corea del Sud,Anime,entity
Q1048722,"One Piece Movie 9: Episode of Chopper Plus - Fuyu ni Saku, Kiseki no Sakura",2008 animated film directed by Junji Shimizu,One Piece - Il miracolo dei ciliegi in fiore,film d'animazione del 2008 diretto da Junji Shimizu,Anime,entity
Q1048726,Crayon Shin-chan: Fierceness That Invites Storm! Operation Golden Spy,2011 film by Sōichi Masui,Crayon Shin-chan - Arashi o yobu - Ōgon no spy daisakusen,film del 2011 diretto da Sôichi Masui,Anime,entity
Q1048739,One Piece: The Giant Mechanical Soldier of Karakuri Castle,2006 film by Kōnosuke Uda,One Piece - I misteri dell'isola meccanica,film d'animazione del 2006 diretto da Kōnosuke Uda,Anime,entity
Q1048742,One Piece: Baron Omatsuri and the Secret Island,2005 film by Mamoru Hosoda,One Piece - L'isola segreta del barone Omatsuri,film d'animazione del 2005 diretto da Mamoru Hosoda,Anime,entity
Q1048795,One Piece: Defeat The Pirate Ganzak!,Japanese OVA,One Piece: Taose! Kaizoku Gyanzac,OVA del 1998,Anime,entity
Q1048870,Crayon Shin-chan: Unkokusai's Ambition,1995 film by Mitsuru Hongo,Crayon Shin-chan - Unkokusai no yabō,film d'animazione del 1995 diretto da Mitsuru Hongo,Anime,entity
Q104891471,Ajin,Japanese anime television series,Ajin - Demi Human,serie televisiva anime,Anime,entity
Q105047929,Heaven's Design Team,Japanese anime television series,Heaven's Design Team,serie televisiva anime,Anime,entity
Q105061172,Sweetness and Lightning,Japanese anime television series,Sweetness & Lightning,serie anime,Anime,entity
Q105061232,A Centaur's Life,Japanese anime television series,A Centaur's Life,serie televisiva anime,Anime,entity
Q105086938,Vivy: Fluorite Eye’s Song,Japanese anime television series,Vivy: Fluorite Eye's Song,serie anime del 2021,Anime,entity
Q105096477,Pandora in the Crimson Shell,Japanese anime television series,Pandora in the Crimson Shell: Ghost Urn,serie anime,Anime,entity
Q105096519,Midori,1992 anime by Hiroshi Harada,Midori - La ragazza delle camelie,film anime di Hiroshi Harada del 1992,Anime,entity
Q1051871,Machine Robo Rescue,Japanese anime television series,Machine Robo Rescue,anime di Hajime Yatate,Anime,entity
Q105190350,The Idaten Deities Know Only Peace,Japanese anime television series,The Idaten Deities Know Only Peace,serie televisiva anime,Anime,entity
Q105223344,Blue Period,Japanese anime television series,Blue Period,serie anime,Anime,entity
Q105224021,"Girlfriend, Girlfriend",Japanese anime television series,"Girlfriend, Girlfriend",serie anime,Anime,entity
Q1052531,Ninja Scroll,1993 film by Yoshiaki Kawajiri,Ninja Scroll,film del 1993 diretto da Yoshiaki Kawajiri,Anime,entity
Q105275840,Record of Ragnarok,Japanese anime television series,Record of Ragnarok,serie anime,Anime,entity
Q105277270,The Duke of Death and His Maid,Japanese anime television series,The Duke of Death and His Maid,serie anime,Anime,entity
Q1052846,Last Exile,Japanese anime television series,Last Exile,serie televisiva anime creata dallo studio Gonzo,Anime,entity
Q1052859,Junjo Romantica: Pure Romance,yaoi manga series by Shungiku Nakamura,Junjō romantica,manga di Shungiku Nakamura,Anime,entity
Q105293746,When Will Ayumu Make His Move?,Japanese anime television series,Soredemo Ayumu wa yosetekuru,serie anime,Anime,entity
Q105293782,Hell's Paradise: Jigokuraku,Japanese anime television series,Hell's Paradise,serie televisiva anime,Anime,entity
Q105293967,Kemono Michi: Rise Up,Japanese anime television series,Kemono Michi: Rise Up,serie anime,Anime,entity
Q105335776,Rakusho! Hyper Doll,1995 anime by Makoto Moriwaki,Hyper Doll,serie OAV,Anime,entity
Q105337231,Noucome,Japanese anime television series,"Ore no nōnai sentakushi ga, gakuen love come o zenryoku de jama shiteiru",serie televisiva anime,Anime,entity
Q105343095,Lord Marksman and Vanadis,Japanese anime television series,Madan no ō to Vanadis,serie televisiva anime,Anime,entity
Q105350589,Oreshura,Japanese anime television series,Oreshura,serie anime,Anime,entity
Q105401153,Kanokon,Japanese anime television series,Kanokon,serie anime,Anime,entity
Q105424646,Sword Art Online Progressive: Aria of a Starless Night,2021 film directed by Ayako Kōno,Sword Art Online: Progressive - Aria of a Starless Night,film d'animazione del 2021 diretto da Ayako Kōno,Anime,entity
Q105427062,Heaven's Memo Pad,Japanese anime television series,Kami-sama no memo-chō,serie anime,Anime,entity
Q1054986,Nanako SOS,manga,Nanako SOS,manga e anime di Hideo Azuma,Anime,entity
Q105502635,Genie Family 2020,Japanese anime television series,Genie Family 2020,serie anime del 2020,Anime,entity
Q1055108,Crayon Shin-chan: Fierceness That Invites Storm! Me and the Space Princess,2012 Japanese anime film directed by Sōichi Masui,Crayon Shin-chan - Arashi o yobu! Ola to uchū no princess,film del 2012 diretto da Sōichi Masui,Anime,entity
Q105523561,The World's Finest Assassin Gets Reincarnated in a Different World as an Aristocrat,Japanese anime television series,The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat,serie anime,Anime,entity
Q105602572,The Detective is Already Dead,Japanese anime television series,"Tantei wa mō, shinde iru.",serie anime,Anime,entity
Q105613027,Gonna be the Twin-Tail!!,Japanese anime television series,Gonna Be the Twin-Tail!!,serie anime,Anime,entity
Q105621633,DAICON III Opening Animation,1981 short film directed by Hiroyuki Yamaga,DAICON III Opening Animation,cortometraggio del 1981 diretto da Hiroyuki Yamaga,Anime,entity
Q105621638,DAICON IV Opening Animation,1983 film directed by Hiroyuki Yamaga,DAICON IV Opening Animation,cortometraggio del 1983 diretto da Hiroyuki Yamaga,Anime,entity
Q1057155,Kimi ga Nozomu Eien,2001 video game,Kimi ga nozomu eien,videogioco del 2001,Anime,entity
Q105751950,The Eminence in Shadow,Japanese anime television series,The Eminence in Shadow - Un giorno sarò l'eminenza grigia,serie televisiva anime,Anime,entity
Q105758758,Absolute Duo,Japanese anime television series,Absolute Duo,serie anime,Anime,entity
Q105762137,Kaze no Stigma,Japanese anime television series,Kaze no stigma,serie anime,Anime,entity
Q105771102,Re-Main,Japanese anime television series,Re-Main,serie anime del 2021,Anime,entity
Q105771949,Denpa Onna to Seishun Otoko,Japanese anime television series,Denpa onna to seishun otoko,serie anime,Anime,entity
Q105775336,Sabikui Bisco,Japanese anime television series,Sabikui Bisco,serie televisiva anime del 2022,Anime,entity
Q1058469,Ghost in the Shell 2: Innocence,2004 film by Mamoru Oshii,Ghost in the Shell - L'attacco dei cyborg,film del 2004 diretto da Mamoru Oshii,Anime,entity
Q105908420,Haiyore! Nyaruko-san,Japanese anime television series,Haiyore! Nyaruko-san,serie anime,Anime,entity
Q1059299,Chōyaku Hyakunin isshu: Uta Koi,2010 Josei manga and 2012 Japanese television anime series,Chōyaku hyakunin isshu: Uta koi,serie di manga,Anime,entity
Q105941982,Hyakko,Japanese anime television series,Hyakko,serie televisiva anime,Anime,entity
Q105965081,Odd Taxi,Japanese anime television series,Odd Taxi,serie televisiva anime del 2021,Anime,entity
Q105987956,Irina: The Vampire Cosmonaut,Japanese anime television series,Tsuki to Laika to nosferatu,serie televisiva anime,Anime,entity
Q1060695,Victory Kickoff!!,Japanese anime television series,Victory Kickoff!!,anime della TYO Animations,Anime,entity
Q106072129,Rokka no Yūsha,Japanese anime television series,Rokka: Braves of the Six Flowers,serie televisiva anime,Anime,entity
Q106080228,Clockwork Planet,Japanese anime television series,Clockwork Planet,serie televisiva anime,Anime,entity
Q106097113,Mieruko-chan,Japanese anime television series,Mieruko-chan,serie anime,Anime,entity
Q106197008,Akebi's Sailor Uniform,Japanese anime television series,Akebi's Sailor Uniform,serie televisiva anime,Anime,entity
Q106350448,I've Been Killing Slimes for 300 Years and Maxed Out My Level,Japanese anime television series,I've Been Killing Slimes for 300 Years and Maxed Out My Level,serie anime,Anime,entity
Q106365617,Inu-Oh,2021 film directed by Masaaki Yuasa,Inu-ō,film d'animazione del 2021 diretto da Masaaki Yuasa,Anime,entity
Q106378505,Love After World Domination,Japanese anime television series,Love After World Domination,serie anime giapponese,Anime,entity
Q106401902,Tesla Note,Japanese anime television series,Tesla Note,serie televisiva anime,Anime,entity
Q106404099,Yasuke,2021 original net animation series,Yasuke,serie televisiva anime del 2021,Anime,entity
Q106404778,A Couple of Cuckoos,Japanese anime television series,A Couple of Cuckoos,serie televisiva anime,Anime,entity
Q106434135,Violet Evergarden: The Movie,2020 Japanese animated film directed by Taichi Ishidate,Violet Evergarden: Il film,film d'animazione giapponese diretto da Taichi Ishidate,Anime,entity
Q106452140,"Josee, the Tiger and the Fish",2020 Japanese animated film,"Josée, la tigre e i pesci","film anime del 2020, diretto da Kotaro Tamura",Anime,entity
Q106469402,The Way of the Househusband,Japanese ONA series,La via del grembiule - Lo yakuza casalingo,serie anime,Anime,entity
Q106522406,The Faraway Paladin,Japanese anime television series,The Faraway Paladin,serie TV anime,Anime,entity
Q106523151,Skeleton Knight in Another World,Japanese anime television series,Skeleton Knight in Another World,serie anime,Anime,entity
Q106553122,Kämpfer,Japanese anime television series,Kämpfer,serie anime,Anime,entity
Q106554273,Infinite Stratos,Japanese anime television series,IS (Infinite Stratos),serie anime,Anime,entity
Q106562462,Boku wa Tomodachi ga Sukunai,Japanese anime television series,Haganai - I Have Few Friends,serie anime,Anime,entity
Q106567539,Mitsudomoe,Japanese anime television series,Mitsudomoe,serie televisiva anime,Anime,entity
Q1065682,Inuyasha the Movie: Swords of an Honorable Ruler,2003 Japanese animated film directed by Toshiya Shinohara,Inuyasha the Movie - La spada del dominatore del mondo,film di animazione del 2003 diretto da Toshiya Shinohara,Anime,entity
Q106570650,JoJo's Bizarre Adventure: Stone Ocean,fifth season of JoJo's Bizarre Adventure anime,quinta stagione de Le bizzarre avventure di JoJo,quinta stagione della serie televisiva anime Le bizzarre avventure di JoJo,Anime,entity
Q106576557,Paradise Kiss,Japanese anime television series,Paradise Kiss,anime di Ai Yazawa,Anime,entity
Q106581636,Tonari no Seki-kun,Japanese anime television series,Tonari no Seki-kun,serie anime,Anime,entity
Q106585371,Bludgeoning Angel Dokuro-Chan,anime adaptions of the Bludgeoning Angel Dokuro-Chan light novel series,Bokusatsu tenshi Dokuro-chan,serie anime,Anime,entity
Q106594883,Dance Dance Danseur,Japanese anime television series,Dance Dance Danseur,serie televisiva anime,Anime,entity
Q106595885,Polar Bear Café,Japanese anime television series,Shirokuma Cafe,serie televisiva anime,Anime,entity
Q106597679,Emma – A Victorian Romance,Japanese anime television series,Emma - Una storia romantica,serie anime,Anime,entity
Q106610884,"My Hero Academia, season 5",the fifth season of My Hero Academia anime television series,quinta stagione di My Hero Academia,lista di episodi della quinta stagione,Anime,entity
Q106615307,Oda Cinnamon Nobunaga,Japanese anime television series,Oda Cinnamon Nobunaga,serie televisiva anime tratta dal manga omonimo,Anime,entity
Q106672501,The Great Jahy Will Not Be Defeated!,Japanese anime television series,The Great Jahy Will Not Be Defeated!,serie televisiva anime,Anime,entity
Q106675719,The Case Study of Vanitas,Japanese anime television series,The Case Study of Vanitas,serie anime,Anime,entity
Q106675750,Aishite Knight,Japanese anime television series,Kiss Me Licia,serie anime del 1983,Anime,entity
Q1066948,Ghost in the Shell,1995 film by Mamoru Oshii,Ghost in the Shell,film d'animazione del 1995 diretto da Mamoru Oshii,Anime,entity
Q106696133,Kawaii dake ja Nai Shikimori-san,Japanese anime television series,Shikimori's Not Just a Cutie,serie anime,Anime,entity
Q106707387,The Deer King,2021 anime film directed by Masashi Ando and Masayuki Miyaji,The Deer King - Il re dei cervi,film d'animazione del 2021,Anime,entity
Q1069002,Eden of the East,Japanese anime television series,Higashi no Eden,serie televisiva anime trasmessa dal 9 aprile al 16 giugno 2009,Anime,entity
Q106925866,Is This a Zombie?,Japanese anime television series,Kore wa zombie desu ka?,serie anime,Anime,entity
Q106984390,Lupin the Third Part 6,Japanese anime television series,Lupin III - Una storia senza fine,Sesta serie televisiva dedicata a Lupin III,Anime,entity
Q107015800,Baka and Test,Japanese anime television series,Baka to test to shōkanjū,serie anime,Anime,entity
Q107046350,Dragon Quest: The Adventure of Dai,1991 Japanese anime television series,Dragon Quest,serie anime del 1991,Anime,entity
Q107047182,Dragon Quest: The Adventure of Dai,2020 Japanese anime television series,Dragon Quest: L'avventura di Dai,serie anime del 2020,Anime,entity
Q107056707,Aria the Scarlet Ammo,Japanese anime television series,Hidan no Aria,serie anime,Anime,entity
Q107093027,Supercrooks,2021 anime series,Super ladri,serie animata giapponese del 2021,Anime,entity
Q107093148,Ghost Sweeper Mikami,Japanese anime television series,Una miss scacciafantasmi,serie anime,Anime,entity
Q107093149,Ghost Sweeper Mikami,Japanese anime film,Ghost Sweeper Mikami - La resurrezione di Nosferatu,film d'animazione del 1994 diretto da Atsutoshi Umezawa,Anime,entity
Q107107189,Samurai Deeper Kyo,Japanese anime television series,Samurai Deeper Kyo,serie anime,Anime,entity
Q107108796,Nanaka 6/17,Japanese anime television series,Nanaka - Ma quanti anni hai?,serie anime,Anime,entity
Q107130536,My Hero Academia: World Heroes' Mission,2021 film directed by Kenji Nagasaki,My Hero Academia: World Heroes' Mission,film d'animazione del 2021 diretto da Kenji Nagasaki,Anime,entity
Q1072208,The Wonderful Adventures of Nils,Japanese anime television series,Nils Holgersson,serie televisiva anime,Anime,entity
Q1072777,Children Who Chase Lost Voices,2011 film by Makoto Shinkai,Viaggio verso Agartha,film di animazione del 2011 diretto da Makoto Shinkai,Anime,entity
Q107333474,Fortune Favors Lady Nikuko,2021 film directed by Ayumu Watanabe,La fortuna di Nikuko,film del 2021 diretto da Ayumu Watanabe,Anime,entity
Q107350075,Kashimashi: Girl Meets Girl,Japanese anime television series,Kashimashi: Girl Meets Girl,serie anime,Anime,entity
Q1073660,Tamayura,2010 anime OVA series by Junichi Satou,Tamayura,manga di Jun'ichi Satō e Momo,Anime,entity
Q107377427,The Seven Deadly Sins: Cursed by Light,2021 film directed by Takayuki Hamana,The Seven Deadly Sins: Cursed by Light,film del 2021 diretto da Takayuki Hamana,Anime,entity
Q107388993,Jarinko Chie,1981 film directed by Isao Takahata,Jarinko Chie,film del 1981 diretto da Isao Takahata,Anime,entity
Q107448055,Miss Kobayashi's Dragon Maid,Japanese anime television series,Miss Kobayashi's Dragon Maid,serie televisiva anime,Anime,entity
Q1074831,Demon Lord Dante,horror-themed manga and anime series,Mao Dante,serie di manga,Anime,entity
Q107502280,Amnesia,Japanese anime television series,Amnesia,videogioco del 2011,Anime,entity
Q1075090,Hataraki Man,anime television series,Hataraki Man,serie televisiva giapponese,Anime,entity
Q1075127,Chi's Sweet Home,manga and anime series,Chi - Casa dolce casa,serie di manga,Anime,entity
Q107522627,Kamigami no Asobi,Japanese anime television series,Kamigami no Asobi,videogioco del 2013,Anime,entity
Q107525122,Tropical-Rouge! Pretty Cure the Movie: The Snow Princess and the Miraculous Ring!,2021 film directed by Junji Shimizu,Eiga Tropical-Rouge! Pretty Cure - Yuki no princess to kiseki no yubiwa!,film del 2021 diretto da Junji Shimizu,Anime,entity
Q107533884,La Corda d'Oro,Japanese anime series,La Corda d'oro,serie anime,Anime,entity
Q107555881,Parallel World Pharmacy,Japanese anime television series,Parallel World Pharmacy,serie televisiva anime,Anime,entity
Q107612221,Summer Time Rendering,Japanese anime television series,Summer Time Rendering,serie anime,Anime,entity
